ID,Statistical weight (single-year data files),Age of youngest household child < 18,Age,Sex,Educational attainment,Race,Hispanic origin,Metropolitan status,Labor force status,Multiple job status,Full time or part time status,School Enrollment,School Level,Presence of spouse,Spouse¡¯s employment status,Weekly earnings,Number of children < 18 living in the household,Spouse¡¯s full time or part time employment status,Usual weekly hours of work (total),Day of week,Holiday
2.01706E+13,5210645,-1,58,Female,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",2,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,No spouse or unmarried partner present,Blank,138461,0,Blank,35,Friday,Diary day was not a holiday
2.01706E+13,7997132,-1,78,Male,Some college but no degree,1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Wednesday,Diary day was not a holiday
2.01706E+13,1.53E+07,-1,29,Male,"Professional school degree (MD, DDS, DVM, etc.)",1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,Spouse present,Employed,134615,0,Full time,45,Sunday,Diary day was not a holiday
2.01706E+13,8499417,6,35,Female,High school graduate - diploma or equivalent (GED),4,Non-Hispanic,Metropolitan,Employed - at work,No,Part time,No,Blank,Spouse present,Not employed,70000,2,Blank,32,Monday,Diary day was not a holiday
2.01706E+13,2.31E+07,-1,24,Female,Associate degree - academic program,1,Hispanic,Metropolitan,Employed - at work,No,Full time,Yes,College or university,Spouse present,Employed,66000,0,Full time,40,Tuesday,Diary day was not a holiday
2.01706E+13,2735849,-1,85,Female,High school graduate - diploma or equivalent (GED),1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Sunday,Diary day was not a holiday
2.01706E+13,7936593,2,46,Male,"Bachelor's degree (BA, AB, BS, etc.)",4,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,Spouse present,Not employed,90000,3,Blank,40,Tuesday,Diary day was not a holiday
2.01706E+13,7333578,-1,36,Female,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,Spouse present,Employed,132000,0,Full time,40,Sunday,Diary day was not a holiday
2.01706E+13,1.3E+07,8,44,Male,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,Spouse present,Employed,48000,1,Full time,40,Tuesday,Diary day was not a holiday
2.01706E+13,5193136,-1,60,Female,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Monday,Diary day was not a holiday
2.01706E+13,7597738,11,42,Female,Associate degree - academic program,1,Non-Hispanic,Metropolitan,Employed - at work,Yes,Full time,Yes,College or university,Spouse present,Employed,86600,2,Full time,-4,Tuesday,Diary day was not a holiday
2.01706E+13,4892358,-1,85,Female,High school graduate - diploma or equivalent (GED),2,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,No spouse or unmarried partner present,Blank,53846,0,Blank,40,Wednesday,Diary day was not a holiday
2.01706E+13,1.15E+07,-1,55,Male,High school graduate - diploma or equivalent (GED),2,Non-Hispanic,Non-metropolitan,Employed - at work,No,Full time,Blank,Blank,Spouse present,Not employed,82692,0,Blank,40,Thursday,Diary day was not a holiday
2.01706E+13,7393091,-1,18,Male,11th grade,1,Non-Hispanic,Metropolitan,Unemployed - looking,Blank,Blank,No,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Sunday,Diary day was not a holiday
2.01706E+13,3.41E+07,15,15,Male,10th grade,1,Hispanic,Metropolitan,Not in labor force,Blank,Blank,No,Blank,No spouse or unmarried partner present,Blank,-1,1,Blank,-1,Thursday,Diary day was not a holiday
2.01706E+13,3513229,-1,67,Male,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,Spouse present,Employed,-1,0,Full time,-1,Sunday,Diary day was not a holiday
2.01706E+13,6259355,-1,77,Female,Some college but no degree,1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Friday,Diary day was not a holiday
